이미지 이름                    PID 세션 이름              세션#  메모리 사용 상태            사용자 이름                                            CPU 시간 창 제목                                                                  
========================= ======== ================ =========== ============ =============== ================================================== ============ ======================================================================== 
csrss.exe                      924 Console                    1      6,120 K Running         NT AUTHORITY\SYSTEM                                     0:00:39 N/A                                                                      
dwm.exe                       1460 Console                    1    126,708 K Running         Window Manager\DWM-1                                    0:04:51 DWM Notification Window                                                  
NVDisplay.Container.exe       3360 Console                    1     34,296 K Running         NT AUTHORITY\SYSTEM                                     0:00:22 NvSvc                                                                    
ETDCtrl.exe                   5640 Console                    1     18,748 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:02 내 프로그램 설정                                                         
rundll32.exe                  6756 Console                    1      7,540 K Running         NT AUTHORITY\SYSTEM                                     0:00:00 RxDiag Message Pump 2019 NVIDIA Corporation Dec  3 2019 19:35:17         
ETDCtrlHelper.exe             8244 Console                    1      7,956 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 ETDCtrlHelper                                                            
rundll32.exe                  8588 Console                    1      9,328 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 N/A                                                                      
nvcontainer.exe               8924 Console                    1     20,400 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:09 BroadcastListenerWindow                                                  
sihost.exe                    9016 Console                    1     29,308 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:15 N/A                                                                      
svchost.exe                   8204 Console                    1     46,484 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:03 Windows Push Notifications Platform                                      
taskhostw.exe                 9272 Console                    1     19,624 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:04 Task Host Window                                                         
ctfmon.exe                    9568 Console                    1     16,360 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:25 N/A                                                                      
igfxEM.exe                    9656 Console                    1     21,464 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:02 G                                                                        
explorer.exe                  9920 Console                    1    203,876 K Running         DESKTOP-S53VTJ2\gjh62                                   0:10:53 N/A                                                                      
CrossEXService.exe           10000 Console                    1      7,352 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 CrossEXService                                                           
svchost.exe                  10656 Console                    1     21,756 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:01 N/A                                                                      
StartMenuExperienceHost.e    11028 Console                    1     82,884 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:08 시작                                                                     
NVIDIA Web Helper.exe        10748 Console                    1     29,704 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:06 NVIDIA NodeJS Share Window                                               
RuntimeBroker.exe            10860 Console                    1     24,152 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:04 OLEChannelWnd                                                            
SearchUI.exe                 11472 Console                    1    225,960 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:44 검색                                                                     
StSess.exe                   11720 Console                    1     14,576 K Running         DESKTOP-S53VTJ2\gjh62                                   0:01:30 N/A                                                                      
RuntimeBroker.exe            11732 Console                    1     49,048 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:17 N/A                                                                      
SettingSyncHost.exe          11300 Console                    1      8,036 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:48 N/A                                                                      
nosstarter.npe               12436 Console                    1     14,912 K Running         NT AUTHORITY\SYSTEM                                     0:06:43 nProtect Online Security                                                 
LockApp.exe                  12620 Console                    1     41,952 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 Windows 기본 잠금 화면                                                   
RuntimeBroker.exe            12852 Console                    1     29,148 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:02 N/A                                                                      
StSess32.exe                 13364 Console                    1      3,836 K Running         DESKTOP-S53VTJ2\gjh62                                   0:01:08 StSess32                                                                 
delfino.exe                  14160 Console                    1     13,768 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:02 delfino                                                                  
veraport-x64.exe             14516 Console                    1     11,636 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:01 N/A                                                                      
smartscreen.exe              15164 Console                    1     27,268 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:01 OLEChannelWnd                                                            
SecurityHealthSystray.exe    15216 Console                    1      8,304 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 N/A                                                                      
RAVCpl64.exe                 15316 Console                    1     13,252 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:02 Realtek HD Audio CPL for Vista                                           
RAVBg64.exe                  14416 Console                    1     13,552 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 Realtek HD Audio Background Process for Vista                            
KakaoTalk.exe                13696 Console                    1    106,980 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:46 14 김성일, 14 정성철                                                     
iCloudServices.exe           15752 Console                    1     66,324 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:07 UIThread                                                                 
APSDaemon.exe                15888 Console                    1     15,484 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:01 APSDaemonShutdownMonitorWnd                                              
AppleIEDAV.exe               15956 Console                    1     30,008 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:03 AppleIEDAV                                                               
secd.exe                     16048 Console                    1     24,568 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:01 SECD                                                                     
ApplePhotoStreams.exe        14472 Console                    1     34,288 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 G                                                                        
iCloudDrive.exe              16184 Console                    1     28,020 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:04 iCloudDrive                                                              
Docker Desktop.exe           16368 Console                    1     74,216 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:03 N/A                                                                      
TranslucentTB.exe            16868 Console                    1     17,528 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:10 TranslucentTB                                                            
AppleMobileDeviceProcess.    11372 Console                    1     11,644 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:02 N/A                                                                      
